grau_medio,grau_var,path_length_medio,path_length_var,clustering_medio,clustering_var,betweenness_medio,betweenness_var,eigenvector_medio,eigenvector_var,id_pai,tipo,algoritmo,numero_amostra,tam_amostra,tam_rede_original,proporcao_amostra
2.0,0.12,14.949387755102041,101.6170302374011,0.0,0.0,0.29061224489795917,0.030976981813133415,0.06757923637252632,0.015433046811306217,4,ER,RW,2,50,500,0.1
2.2,0.39999999999999997,10.421834451901566,19.939281645971903,0.0,0.0,0.06366104359392949,0.0032383511018057557,0.040966500702817495,0.004988412486832722,4,ER,RW,2,150,500,0.3
2.552,1.1432959999999999,7.0312610441767065,5.584854072418186,0.0012,0.00014522666666666657,0.024319600984583495,0.0007571322458262697,0.039592962041978895,0.0024323973567424197,4,ER,RW,2,250,500,0.5
3.177142857142857,2.2771918367346937,5.356954564060581,2.21548970198797,0.005448979591836735,0.0009472603544819286,0.012519984379484426,0.0001744394688702917,0.03812968009682629,0.0014032703528565466,4,ER,RW,2,350,500,0.7
2.08,0.2736,8.68734693877551,23.89000316534777,0.0,0.0,0.1601530612244898,0.02157865675181637,0.08864457661959041,0.012142139035933568,4,ER,RW,3,50,500,0.1
2.1733333333333333,0.35662222222222223,12.864161073825503,39.95165964295903,0.0,0.0,0.08016325049882096,0.004120200717665403,0.04475563068047405,0.004663600189059675,4,ER,RW,3,150,500,0.3
2.664,1.4071040000000001,6.42008032128514,4.286665053789455,0.0,0.0,0.02185516258582718,0.0004667341020487241,0.03061851409509028,0.0030625065946087576,4,ER,RW,3,250,500,0.5
3.4685714285714284,3.4375836734693883,4.8243307408923455,1.7032868525425124,0.004292517006802721,0.0030264884538849573,0.010989456151989497,0.0001684788117137099,0.039282723269391216,0.0013140105096832873,4,ER,RW,3,350,500,0.7
2.12,0.42559999999999987,8.715102040816326,24.226588254893795,0.0,0.0,0.16073129251700682,0.013018896800972846,0.07433609604260485,0.014474144825144624,4,ER,RW,4,50,500,0.1
2.3066666666666666,0.9059555555555554,8.196152125279642,11.114454992517857,0.010476190476190477,0.0071464852607709736,0.04862264949513271,0.002980344733664282,0.035065207238780795,0.00543709790796802,4,ER,RW,4,150,500,0.3
2.584,1.6669440000000004,6.670393574297189,5.051488118191642,0.002333333333333333,0.00028310430839002256,0.022864490218940277,0.0008512223403985603,0.02824403630326953,0.0032022744132995926,4,ER,RW,4,250,500,0.5
3.16,2.945828571428572,5.290757265656979,2.2964671711250655,0.0034829931972789117,0.00039867752633933394,0.012329762257634996,0.00023883727902082065,0.03347764686189622,0.0017363900177330275,4,ER,RW,4,350,500,0.7
