i,graph_type,g_n,g_p_er,g_m_ba,g_k_ws,g_p_ws,graph_object,grau_medio,grau_var,path_length_medio,path_length_var,clustering_medio,clustering_var,betweenness_medio,betweenness_var,eigenvector_medio,eigenvector_var
56,BA,2000,,3.0,,,Graph with 2000 nodes and 5991 edges,5.991,51.36591900000001,3.7595952976488243,0.5331435480719349,0.017879654335921553,0.0041901552857769265,0.0013811788276520643,3.1401857593027896e-05,0.012990079425741137,0.00033125783651293683
57,WS,2000,,,6.0,0.2,Graph with 2000 nodes and 6000 edges,6.0,1.044,5.698797898949475,1.3398850982247017,0.31986825396825397,0.024516965762156714,0.002351750700174912,3.0113206129560813e-06,0.02120907710334486,5.017504842437283e-05
58,ER,2000,0.2,,,,Graph with 2000 nodes and 400594 edges,400.594,323.762164,1.7996028014007004,0.16023816139285244,0.20043328385832182,1.931806237886834e-06,0.0004002016023026528,1.30527023473439e-09,0.02233813438988371,1.007751979494752e-06
59,BA,2000,,3.0,,,Graph with 2000 nodes and 5991 edges,5.991,62.42491900000001,3.7158409204602303,0.541904943177942,0.022045298311777168,0.006004375798756595,0.0013592797399700851,4.3093467752891625e-05,0.011625453341828684,0.0003648488345969642
60,WS,2000,,,6.0,0.2,Graph with 2000 nodes and 6000 edges,6.0,1.084,5.64680140070035,1.2925283882721754,0.3129448412698413,0.02368143618653943,0.0023257264267769525,2.7281761435405006e-06,0.020925757503492806,6.211267290501448e-05
61,ER,2500,0.2,,,,Graph with 2500 nodes and 624495 edges,499.596,365.50958399999996,1.8000816326530613,0.15995101374427315,0.19982468888973776,1.292194798958161e-06,0.00032028888416855874,6.040355984145314e-10,0.01998535259295568,5.856817352397091e-07
62,BA,2500,,3.0,,,Graph with 2500 nodes and 7491 edges,5.9928,58.86794816,3.820531092436975,0.5436020356679139,0.014866322652024349,0.003340517853271965,0.0011291157295584369,2.783662674303934e-05,0.010927566130963356,0.00028058829845342264
63,WS,2500,,,6.0,0.2,Graph with 2500 nodes and 7500 edges,6.0,1.1136,5.803545098039216,1.276455011311506,0.3033088888888889,0.023826953748652055,0.0019229564043391576,1.8360321802367833e-06,0.01898459842085599,3.9585022798832295e-05
64,ER,2500,0.2,,,,Graph with 2500 nodes and 623990 edges,499.192,390.1247359999999,1.8002432973189275,0.15985396241505803,0.19973965377721034,1.2052457695980423e-06,0.0003203536018090177,6.441976467648193e-10,0.019984254198186908,6.295841422489649e-07
65,BA,2500,,3.0,,,Graph with 2500 nodes and 7491 edges,5.9928,70.02954816,3.7559442977190876,0.5386911559208653,0.020097522914592953,0.005494891041355061,0.001103260327349514,3.999211996014245e-05,0.010411923283267012,0.00029159185354336224
66,WS,2500,,,6.0,0.2,Graph with 2500 nodes and 7500 edges,6.0,1.0592,5.886681712685074,1.327148401534321,0.3222242712842713,0.024340817244770108,0.001956237675214201,2.0309806590879834e-06,0.019050988568906763,3.7059834547383875e-05
67,ER,2500,0.2,,,,Graph with 2500 nodes and 624988 edges,499.9904,415.32950784,1.7999238095238095,0.1600457084807256,0.20012609467529124,1.2496995802945246e-06,0.00032022570437302165,6.865324380584977e-10,0.019983356021873337,6.654821030586461e-07
68,BA,2500,,3.0,,,Graph with 2500 nodes and 7491 edges,5.9928,61.477548160000005,3.797902521008403,0.5346309587251368,0.015696019258793315,0.003915299355975246,0.0011200570540465984,2.9986074329137003e-05,0.010820236013640827,0.00028292249260911
69,WS,2500,,,6.0,0.2,Graph with 2500 nodes and 7500 edges,6.0,1.0488,5.8531175670268105,1.3110974996633893,0.3119911111111111,0.023593536005643737,0.0019428012678249847,1.9350095144572823e-06,0.01901382479850292,3.8474466531835385e-05
70,ER,2500,0.2,,,,Graph with 2500 nodes and 625190 edges,500.152,391.281696,1.799859143657463,0.16008449396501312,0.20011058939616136,1.1808098256991951e-06,0.0003201998173168381,6.446369519344015e-10,0.019984338906737936,6.261984606404933e-07
71,BA,2500,,3.0,,,Graph with 2500 nodes and 7491 edges,5.9928,56.68314816000001,3.82618487394958,0.545257849775204,0.014253023995641599,0.003634216490542161,0.0011313790528220892,2.8742851679900494e-05,0.010668028593564367,0.0002861931659268931
72,WS,2500,,,6.0,0.2,Graph with 2500 nodes and 7500 edges,6.0,1.0152,5.905627531012405,1.3380825525833804,0.32100432900432896,0.02244869826694069,0.0019638220700610113,2.0614340184562876e-06,0.018843833886985645,4.490992443969141e-05
73,ER,2500,0.2,,,,Graph with 2500 nodes and 625004 edges,500.0032,422.1479897600001,1.79991868747499,0.16004878090327948,0.2000965304061764,1.2598251488541984e-06,0.0003202236539131259,6.945077067486661e-10,0.019983072071578102,6.768305821153612e-07
74,BA,2500,,3.0,,,Graph with 2500 nodes and 7491 edges,5.9928,57.28074815999998,3.8431474989996,0.5559175010131535,0.015212945305708513,0.003638387488252807,0.0011381695352280226,3.08731667985315e-05,0.009891742613268098,0.00030215342807285596
75,WS,2500,,,6.0,0.2,Graph with 2500 nodes and 7500 edges,6.0,1.072,5.83312781112445,1.3102457093946094,0.3078086868686869,0.02508799845201885,0.0019347989636206765,1.858755902746627e-06,0.018936098007150577,4.142419226358795e-05
